customer_id_old,source_id_old,customer_id_new,source_id_new
cus_TLm77E1GRfVj4P,pm_1SP4akG169MUOFIq4rOPi817,cus_TLm77E1GRfVj4P,pm_1TGpmwLfpHJZVq4IkHn6dJe5
cus_TjsVwGRwiAA7J0,card_1SmOkTG169MUOFIq2YRqxQ9m,cus_TjsVwGRwiAA7J0,card_1TGpmvLfpHJZVq4Ijgbr9hfP
cus_TT58hLYwA5J4XX,pm_1SW9jOG169MUOFIqEULN09vf,cus_TT58hLYwA5J4XX,pm_1TGpmvLfpHJZVq4IDnbxQonG
cus_TOSqOIKKgEHju7,card_1SRfx4G169MUOFIqg0grs2nf,cus_TOSqOIKKgEHju7,card_1TGpmtLfpHJZVq4IOZhRDpSe
cus_TLnd7MUquO1zI6,card_1SP622G169MUOFIqIJ3eRuH3,cus_TLnd7MUquO1zI6,card_1TGpmsLfpHJZVq4Id2kpSFQ8
cus_TLC1fjzCHmqwHo,card_1SOVd0G169MUOFIqKJtotzcp,cus_TLC1fjzCHmqwHo,card_1TGpmsLfpHJZVq4Ie1eAquJX
cus_TH3SHke6Gv3GiL,pm_1SKVMPG169MUOFIqwT4IyJvD,cus_TH3SHke6Gv3GiL,pm_1TGpmrLfpHJZVq4IJwgfSohR
cus_Tv0cScBWzHhTzK,pm_1SxAdYG169MUOFIqbFhaMuNZ,cus_Tv0cScBWzHhTzK,pm_1TGpmqLfpHJZVq4I4kz09IFp
cus_TqHXtdIciI7Pmf,card_1SsaylG169MUOFIqZTyLdsbi,cus_TqHXtdIciI7Pmf,card_1TGpmpLfpHJZVq4IC72BrJHR
cus_TmX6D0IRBYIElZ,card_1Soy2kG169MUOFIqVVpUDIC4,cus_TmX6D0IRBYIElZ,card_1TGpmpLfpHJZVq4ITSycXIfU
cus_Tcfx0YTBJI34mu,card_1SfQbeG169MUOFIqhNICB3Ay,cus_Tcfx0YTBJI34mu,card_1TGpmoLfpHJZVq4Ik1QZybuS
cus_TZQrMB1UgYrZj7,pm_1ScI05G169MUOFIqlk0ziUpc,cus_TZQrMB1UgYrZj7,pm_1TGpmoLfpHJZVq4IZ4fzZcV7
cus_TVyw8AihDmtRNc,card_1SYwyGG169MUOFIqFZMUXyCb,cus_TVyw8AihDmtRNc,card_1TGpmnLfpHJZVq4INjmydfkX
cus_TUsiUTUvX4oYjr,card_1SXsx3G169MUOFIqpZTQbFHV,cus_TUsiUTUvX4oYjr,card_1TGpmmLfpHJZVq4IZxp5N6YM
cus_TMkDqgLRC1AEkJ,pm_1SQ0jqG169MUOFIqx8C8Afzt,cus_TMkDqgLRC1AEkJ,pm_1TGpmmLfpHJZVq4I33NR15tx
cus_TJa4u7HBLc0ByS,pm_1SMwuoG169MUOFIqDe0Lf2jJ,cus_TJa4u7HBLc0ByS,pm_1TGpmlLfpHJZVq4IHBb0aq0d
cus_U9N1pwD2FFLghH,pm_1TB4JsG169MUOFIqXjMMSMZ1,cus_U9N1pwD2FFLghH,pm_1TGpmkLfpHJZVq4IWjQrgQqH
cus_U7TgdmlQqR6MLy,pm_1T9El5G169MUOFIqtTkRNmu5,cus_U7TgdmlQqR6MLy,pm_1TGpmjLfpHJZVq4IFuMMNzaE
cus_TqrmARRx0biG8A,pm_1StA3kG169MUOFIqnkl8uShW,cus_TqrmARRx0biG8A,pm_1TGpmhLfpHJZVq4ICru2LYyq
cus_TSEonthSho9heZ,card_1SnWNlG169MUOFIqc3AD5wfA,cus_TSEonthSho9heZ,card_1TGpmcLfpHJZVq4I2IxklPL9
cus_TjsOHJyN6AKq6Z,card_1SmOe4G169MUOFIqxnaucQVH,cus_TjsOHJyN6AKq6Z,card_1TGpmbLfpHJZVq4I8JJGrLvz
cus_TUsko4B4BQH9JI,card_1SXsycG169MUOFIqQHLNLb2T,cus_TUsko4B4BQH9JI,card_1TGpmaLfpHJZVq4IxJWaWj03
cus_TvP9Ndkl949xJo,card_1TAIXOG169MUOFIq7dL0Ym3i,cus_TvP9Ndkl949xJo,card_1TGpmaLfpHJZVq4I0v0EVfzk
cus_TKin5tj0FBaYgI,card_1SO3LaG169MUOFIqztYZWaLM,cus_TKin5tj0FBaYgI,card_1TGpmYLfpHJZVq4I9BE1yLrd
